datetime;%;plugged
2021-04-13 09:31:38;84;1
2021-04-13 09:32:38;85;1
2021-04-13 09:33:38;86;1
2021-04-13 09:34:38;86;1
2021-04-13 09:35:38;87;1
2021-04-13 09:36:38;87;1
2021-04-13 09:37:38;87;1
2021-04-13 09:38:38;88;1
2021-04-13 09:39:38;88;1
2021-04-13 09:40:38;89;1
2021-04-13 09:41:38;89;1
2021-04-13 09:42:38;89;1
2021-04-13 09:43:38;90;1
2021-04-13 09:44:38;90;1
2021-04-13 09:45:38;91;1
2021-04-13 09:46:38;91;1
2021-04-13 09:47:38;91;1
2021-04-13 09:48:38;92;1
2021-04-13 09:49:38;92;1
2021-04-13 09:50:38;92;1
2021-04-13 09:51:38;92;1
2021-04-13 09:52:38;93;1
2021-04-13 09:53:38;93;1
2021-04-13 09:54:38;93;1
2021-04-13 09:55:38;93;1
2021-04-13 09:56:38;94;1
2021-04-13 09:57:39;94;1
2021-04-13 09:58:39;94;1
2021-04-13 09:59:39;94;1
2021-04-13 10:00:39;95;1
2021-04-13 10:01:39;95;1
2021-04-13 10:02:39;95;1
2021-04-13 10:03:39;95;1
2021-04-13 10:04:39;95;1
2021-04-13 10:05:39;95;1
2021-04-13 10:06:39;96;1
2021-04-13 10:07:39;96;1
2021-04-13 10:08:39;96;1
2021-04-13 10:09:39;96;1
2021-04-13 10:10:39;96;1
2021-04-13 10:11:39;96;1
2021-04-13 10:12:39;100;1
2021-04-13 10:13:39;100;1
2021-04-13 10:14:39;100;1
