datetime;%;plugged
2021-04-12 19:18:10;84;1
2021-04-12 19:19:10;85;1
2021-04-12 19:20:10;86;1
2021-04-12 19:21:10;86;1
2021-04-12 19:22:10;87;1
2021-04-12 19:23:10;88;1
2021-04-12 19:24:10;88;1
2021-04-12 19:25:10;89;1
2021-04-12 19:26:10;89;1
2021-04-12 19:27:10;90;1
2021-04-12 19:28:10;90;1
2021-04-12 19:29:10;91;1
2021-04-12 19:30:10;91;0
2021-04-12 19:31:10;90;0
2021-04-12 19:32:10;88;0
2021-04-12 19:33:10;87;0
2021-04-12 19:34:10;85;0
2021-04-12 19:35:10;84;0
2021-04-12 19:36:10;83;0
2021-04-12 19:37:10;81;0
2021-04-12 19:38:10;80;0
2021-04-12 19:39:10;79;0
2021-04-12 19:40:10;78;0
2021-04-12 19:41:10;77;0
2021-04-12 19:42:10;76;0
2021-04-12 19:43:10;75;0
2021-04-12 19:44:10;74;0
2021-04-12 19:45:10;73;0
2021-04-12 19:46:10;71;0
2021-04-12 19:47:10;71;0
2021-04-12 19:48:10;69;0
2021-04-12 19:49:10;68;0
2021-04-12 19:50:10;67;0
2021-04-12 19:51:10;66;0
2021-04-12 19:52:10;64;0
2021-04-12 19:53:10;64;0
2021-04-12 19:54:10;62;0
2021-04-12 19:55:10;61;0
2021-04-12 19:56:10;60;0
2021-04-12 19:57:10;59;0
2021-04-12 19:58:10;58;0
2021-04-12 19:59:10;57;0
2021-04-12 20:00:10;56;0
2021-04-12 20:01:10;55;0
2021-04-12 20:02:10;54;0
2021-04-12 20:03:10;53;0
2021-04-12 20:04:10;52;0
2021-04-12 20:05:10;51;0
2021-04-12 20:06:10;50;0
2021-04-12 20:07:10;49;0
2021-04-12 20:08:10;48;0
2021-04-12 20:09:10;46;0
2021-04-12 20:10:11;45;0
2021-04-12 20:11:11;45;0
2021-04-12 20:12:11;43;0
2021-04-12 20:13:11;42;0
2021-04-12 20:14:11;41;0
2021-04-12 20:15:11;40;0
2021-04-12 20:16:11;39;0
2021-04-12 20:17:11;38;0
2021-04-12 20:18:11;37;0
2021-04-12 20:19:11;36;0
2021-04-12 20:20:11;35;0
2021-04-12 20:21:11;34;0
2021-04-12 20:22:11;33;0
2021-04-12 20:23:11;32;0
2021-04-12 20:24:11;31;0
2021-04-12 20:25:11;30;0
2021-04-12 20:26:11;29;0
2021-04-12 20:27:11;28;0
2021-04-12 20:28:11;27;0
2021-04-12 20:29:11;25;0
2021-04-12 20:30:11;24;0
2021-04-12 20:31:11;24;0
2021-04-12 20:32:11;23;0
2021-04-12 20:33:11;21;0
2021-04-12 20:34:11;21;0
2021-04-12 20:35:11;20;0
2021-04-12 20:36:11;19;0
2021-04-12 20:37:11;18;0
2021-04-12 20:38:11;17;0
2021-04-12 20:39:11;16;0
2021-04-12 20:40:11;15;0
2021-04-12 20:41:11;14;0
2021-04-12 20:42:11;13;0
2021-04-12 20:43:11;12;0
2021-04-12 20:44:11;11;0
2021-04-12 20:45:11;11;1
2021-04-12 20:46:11;12;1
2021-04-12 20:47:11;13;1
2021-04-12 20:48:11;14;1
2021-04-12 20:49:11;15;1
2021-04-12 20:50:11;16;1
2021-04-12 20:51:11;16;1
2021-04-12 20:52:11;17;1
2021-04-12 20:53:11;18;1
2021-04-12 20:54:11;19;1
2021-04-12 20:55:12;20;1
2021-04-12 20:56:12;21;1
2021-04-12 20:57:12;21;1
2021-04-12 21:05:22;29;1
2021-04-12 21:06:22;29;1
2021-04-12 21:07:22;30;1
2021-04-12 21:08:22;31;1
2021-04-12 21:09:22;32;1
2021-04-12 21:10:22;33;1
2021-04-12 21:11:22;34;1
2021-04-12 21:12:22;35;1
2021-04-12 21:13:22;35;1
2021-04-12 21:14:22;36;1
2021-04-12 21:15:22;37;1
2021-04-12 21:16:22;38;1
2021-04-12 21:17:22;39;1
2021-04-12 21:18:22;40;1
2021-04-12 21:19:22;41;1
2021-04-12 21:20:22;41;1
2021-04-12 21:21:22;42;1
2021-04-12 21:22:22;43;1
2021-04-12 21:23:22;44;1
2021-04-12 21:24:22;45;1
2021-04-12 21:25:22;46;1
2021-04-12 21:26:22;47;1
2021-04-12 21:27:22;47;1
2021-04-12 21:28:22;48;1
2021-04-12 21:29:22;49;1
2021-04-12 21:30:22;50;1
2021-04-12 21:31:22;51;1
2021-04-12 21:32:22;52;1
2021-04-12 21:33:22;53;1
2021-04-12 21:34:22;53;1
2021-04-12 21:35:22;54;1
2021-04-12 21:36:22;55;1
2021-04-12 21:37:22;56;1
2021-04-12 21:38:22;57;1
2021-04-12 21:39:22;58;1
2021-04-12 21:40:22;59;1
2021-04-12 21:41:22;59;1
2021-04-12 21:42:22;60;1
2021-04-12 21:43:23;61;1
2021-04-12 21:44:23;62;1
2021-04-12 21:45:23;63;1
2021-04-12 21:46:23;64;1
2021-04-12 21:47:23;65;1
2021-04-12 21:48:23;65;1
2021-04-12 21:49:23;66;1
2021-04-12 21:50:23;67;1
2021-04-12 21:51:23;68;1
2021-04-12 21:52:23;69;1
2021-04-12 21:53:23;70;1
2021-04-12 21:54:23;71;1
2021-04-12 21:55:23;71;1
2021-04-12 21:56:23;72;1
2021-04-12 21:57:23;73;1
2021-04-12 21:58:23;74;1
2021-04-12 21:59:23;74;1
2021-04-12 22:00:23;76;1
2021-04-12 22:01:23;77;1
2021-04-12 22:02:23;78;1
2021-04-12 22:03:23;78;1
2021-04-12 22:04:23;79;1
2021-04-12 22:05:23;80;1
2021-04-12 22:06:23;81;1
2021-04-12 22:07:23;82;1
2021-04-12 22:08:23;83;1
2021-04-12 22:09:23;84;1
2021-04-12 22:10:23;84;1
2021-04-12 22:11:23;85;1
2021-04-12 22:12:23;86;1
